Register/Table,Field,Description,Width,Number of entries,Field start bit,Start address,End address
,compareIPv4,"Shall the IPv4 packet type be compared. 1 = Include the comparison in the search, 0 = Dont include the comparison in the search",1,,18,,
,isIPv4,"0 = No IPv4 in the packet, 1 = IPv4 in the packet.",1,,19,,
,compareIPv6,"Shall the IPv6 packet type be compared. 1 = Include the comparison in the search, 0 = Dont include the comparison in the search",1,,20,,
,isIPv6,"0 = No IPv6 in the packet, 1 = IPv6 in the packet",1,,21,,
,compareMPLS,"Shall the MPLS packet type be compared. 1 = Include the comparison in the search, 0 = Dont include the comparison in the search",1,,22,,
,isMPLS,"0 = No MPLS in the packet, 1= MPLS in the packet",1,,23,,
,compareSip,Shall the source IPv4 / IPv6 address be compared,1,,24,,
,sip,The source address to compare. If IPv4 then only bits [31:0] are compared.,128,,25,,
,compareDip,Shall the destination IPv4 / IPv6 address be compared.,1,,153,,
,dip,The destination address to compare. If IPv4 then only bits [31:0] are compared.,128,,154,,
,compareTos,Shall the TOS byte be compared,1,,282,,
,tos,TOS byte to be compared,8,,283,,
,compareL4Type,Shall the L4 payload type byte be compared,1,,291,,
,l4Type,The L4 payload byte to be compared.,8,,292,,
,compareL4sp,Shall the L4 Source Port be compared,1,,300,,
,l4sp,The L4 source port to be compared.,16,,301,,
,compareL4dp,Shall the L4 destination port be compared,1,,317,,
,l4dp,The L4 destination port to be compared.,16,,318,,
,compareTcpFlagMask,"Which of the TCP bits shall be compared. For each bit: 1 = The bit has to match, 0 = The bit is ignored",9,,334,,
,tcpFlags,"The TCP flags to compare. Bit [8] = ns, Bit [7] = cwr, Bit[6] = ece, Bit[5] = urg, Bit[4] = ack, Bit[3] = psh, Bit [2] = rst, Bit[1] = syn , Bit[0] = fin",9,,343,,
Output Disable,,,8,12,,59465,59476
,egressQueue0Disabled,"If set, stop scheduling new packets for output from queue 0 on this egress port",1,,0,,
,egressQueue1Disabled,"If set, stop scheduling new packets for output from queue 1 on this egress port",1,,1,,
,egressQueue2Disabled,"If set, stop scheduling new packets for output from queue 2 on this egress port",1,,2,,
,egressQueue3Disabled,"If set, stop scheduling new packets for output from queue 3 on this egress port",1,,3,,
,egressQueue4Disabled,"If set, stop scheduling new packets for output from queue 4 on this egress port",1,,4,,
,egressQueue5Disabled,"If set, stop scheduling new packets for output from queue 5 on this egress port",1,,5,,
,egressQueue6Disabled,"If set, stop scheduling new packets for output from queue 6 on this egress port",1,,6,,
,egressQueue7Disabled,"If set, stop scheduling new packets for output from queue 7 on this egress port",1,,7,,
Buffer Overflow Drop,,,24,1,,59477,59477
,packets,The number of dropped packets,24,,0,,
Buffer Broken Drop,,,24,1,,59478,59478
,packets,The number of dropped packets,24,,0,,
Redirect,,,9,1,,59479,59479
,redirectEnabled,"If set, redirect is enabled",1,,0,,
,fromEgressPort,The egress port that redirect from,4,,1,,
,toEgressPort,The egress port that redirect to. Only valid if redirectEnabled is set,4,,5,,
Egress Port Resource Management,,,11,12,,59480,59491
,packets,Available number of packets for egress port ,11,,0,,
Egress Queue Resource Management,,,11,96,,59492,59587
,packets,Available number of packets for a queue on egress port,11,,0,,
Egress Port Disabled Drop,,,24,1,,59588,59588
,packets,The number of dropped packets,24,,0,,
L3 Multicast Drop,,,24,1,,59589,59589
,packets,The number of dropped packets,24,,0,,
Egress Queue To PCP And CFI/DEI Mapping Table,,,4,8,,59590,59597
,cfiDei,Map from egress queue to cfi/dei,1,,0,,
,pcp,Map from egress queue to pcp,3,,1,,
Egress Port Configuration,,,28,12,,59598,59609
,vlanSingleOp,"The egress port VLAN tag operation allows a egress port to have a final VLAN operation on the outgoing packet. 0 = no operation, 1 = swap, 2 = push, 3 = pop, 4 = penultimate Pop(remove all headers)",3,,0,,
,vidSel,"Where shall the vid come from during egress port VLAN operations. 0 = from outmost VLAN in the packet, 1= from Egress Port Configuration Table, 2 = from vid used by ingress",2,,3,,
,cfiDeiSel,"Where shall the cfi/dei come from during the egress port VLAN operation. 0 = from outmost VLAN in the packet, 1 = from Egress Port Configuration Table, 2 = from Egress Queue To PCP And CFI/DEI Mapping Table",2,,5,,
,pcpSel,"Where shall the pcp come from during the egress port VLAN operation. 0 = from outmost VLAN in the packet, 1 = from Egress Port Configuration Table, 2 = from Egress Queue To PCP And CFI/DEI Mapping Table",2,,7,,
,typeSel,"Pointer to the VLAN type. 0 = CVLAN, 1 = SVLAN, 2 = user defined VLAN ",2,,9,,
,vid,New vid to be selected on egress port VLAN operations push or swap,12,,11,,
,cfiDei,New cfi/dei to be selected on egress port VLAN operations push or swap,1,,23,,
,pcp,New pcp to be selected on egress port VLAN operations push or swap,3,,24,,
,disabled,If set all packets on this port is dropped. Setting this field to one means all packets are droped while zero means packets are sent out.,1,,27,,
Egress Next Hop Table,,,51,128,,59610,59865
,daMac,The destination MAC address for the next hop,48,,0,,
,vlanOpPtr,VLAN operation pointer to \register{Egress Router VLAN Operation Table}. Only valid when \field{Egress Router Table}{vopSel} is set to 1.,3,,48,,
Egress Router VLAN Operation Table,,,54,8,,59866,59881
,outerVlanAppend,"Shall the router append a outer VLAN tag to the packet, 0 = Dont append outer VLAN, 1 = Append outer VLAN",1,,0,,
,outerPcpSel,"Where shall the outer PCP bits come from. 0 = From existing packet , 1= From this table, 2 = From \register{Egress Queue To PCP And CFI/DEI Mapping Table}.",2,,1,,
,outerCfiDeiSel,"Where shall the outer CFI/DEI bits come from. 0 = From existing packet , 1= From this table, 2 = From \register{Egress Queue To PCP And CFI/DEI Mapping Table}.",2,,3,,
,outerEthType,"Pointer to the VLAN type. 0 = CVLAN, 1 = SVLAN, 2 = User defined VLAN",2,,5,,
,outerVid,The outer VLAN Identifier to be added to the packet,16,,7,,
,outerPcp,The new outer PCP value from this table.,3,,23,,
,outerCfiDei,The new outer CFI/DEI value from this table.,1,,26,,
,innerVlanAppend,"Shall the router append a inner VLAN tag to the packet, 0 = Dont append inner VLAN, 1 = Append inner VLAN",1,,27,,
,innerPcpSel,"Where shall the inner PCP bits come from. 0 = From existing packet , 1 = From this table, 2 = From \register{Egress Queue To PCP And CFI/DEI Mapping Table}.",2,,28,,
,innerCfiDeiSel,"Where shall the inner CFI/DEI bits come from. 0 = From existing packet , 1 = From this table, 2 = From \register{Egress Queue To PCP And CFI/DEI Mapping Table}.",2,,30,,
,innerEthType,"Pointer to the VLAN type. 0 = CVLAN, 1 = SVLAN, 2 = User defined VLAN",2,,32,,
,innerVid,The inner VLAN Identifier to be added to the packet,16,,34,,
,innerPcp,The new inner PCP value from this table.,3,,50,,
,innerCfiDei,The new inner CFI/DEI value from this table.,1,,53,,
Egress Router Table,,,61,8,,59882,59897
,saMac,The source MAC address to be used for this router,48,,0,,
,vlanOpPtr,VLAN operation pointer to \register{Egress Router VLAN Operation Table}. Only valid when vopSel is set to 0.,3,,48,,
,vopSel,"Determine where the VLAN operation pointer is located. 0 = From this table, 1 = From \register{Egress Next Hop Table}",1,,51,,
,addNewTTL,"Shall the router add a new TTL for this packet. 0 = No keep old value (which has been decremented by one), 1 = set a new value.",1,,52,,
,newTTL,New TTL for the packet. Only valid when addNewTTL is set to 1,8,,53,,
Egress L3 Multicast Table,,,32,128,,59898,60025
,portMask,This entry says to which ports this entry shall be send to.,12,,0,,
,vlanOpPtr,VLAN operation pointer to \register{Egress Router VLAN Operation Table}.,3,,12,,
,nextHop,This is the egress next hop entry holding the destination MAC address.,7,,15,,
,nextMcPtr,This is the next entry to readout from this table. Setting this to zero means no more entries shall be read out.,7,,22,,
,egressVrp,The egress VRF on which to send out these packets on,3,,29,,
Egress Ethernet Types for VLAN tags,,,16,5,,60026,60030
,typeValue,The Ethernet Type value,16,,0,,
Disable CPU tag on CPU Port,,,1,1,,60031,60031
,disable,When set to one (=1) the CPU port will no longer append a CPU Tag to the packet going to the CPU port.,1,,0,,
Learning And Aging Software Control,,,2,1,,60032,60032
,learningEnable,"If set, the learning engine will be activated",1,,0,,
,agingEnable,"If set, the aging engine will be activated",1,,1,,
Time to Age,,,32,1,,60033,60033
,cycles,Cycles after which aging should kick in.,32,,0,,
